host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_as_host,host_response_time_hours,bathroom_type,amenities_count,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathroom_type_,bathroom_type_bath,bathroom_type_baths,bathroom_type_half-bath,bathroom_type_private bath,bathroom_type_shared bath,bathroom_type_shared baths
100,98,0,45.0,55.0,1,1,13.71425,100.51332,Entire home/apt,2,1.0,1,1,744.0,1,1125,1,3,19,49,50,227,7,2,4.46,4.65,4.52,4.7,4.73,4.43,4.5,0,41,41,0,0,1.63,4789,1,bath,19,1,0,0,0,0,1,0,0,0,0,0
95,84,1,8.0,15.0,1,1,13.72027,100.52851,Entire home/apt,4,2.0,2,2,5310.0,2,90,1,10,20,40,46,156,10,0,4.83,4.9,4.84,4.84,4.85,4.7,4.79,0,8,8,0,0,1.13,4409,1,baths,48,1,0,0,0,0,0,1,0,0,0,0
100,100,1,7.0,9.0,1,1,13.83026,100.52082,Entire home/apt,2,1.0,1,1,700.0,7,365,1,23,53,83,358,14,1,0,4.79,4.85,4.71,4.86,4.93,3.92,4.71,0,7,7,0,0,0.1,5062,1,bath,19,1,0,0,0,0,1,0,0,0,0,0
100,100,1,7.0,9.0,1,1,13.83148,100.52307,Entire home/apt,4,1.0,2,3,1500.0,3,365,1,0,18,42,127,32,5,0,4.87,4.78,4.75,4.78,4.94,4.44,4.88,0,7,7,0,0,0.22,5062,1,bath,32,1,0,0,0,0,1,0,0,0,0,0
100,96,1,4.0,4.0,1,1,13.70486,100.60152,Entire home/apt,2,1.0,1,1,1400.0,14,730,1,0,0,0,223,43,3,0,4.79,4.86,4.74,4.88,4.84,4.7,4.6,0,3,3,0,0,0.3,4579,3,bath,35,1,0,0,0,0,1,0,0,0,0,0
90,100,1,4.0,4.0,1,1,13.71972,100.54924,Entire home/apt,2,2.0,2,2,2500.0,30,365,1,0,0,0,238,26,0,0,4.92,4.85,4.81,4.96,4.77,4.54,4.54,0,3,3,0,0,0.18,4545,3,baths,35,1,0,0,0,0,0,1,0,0,0,0
100,100,1,1.0,2.0,1,1,13.722420692443848,100.50871276855467,Entire home/apt,5,2.5,2,3,7225.0,2,270,1,2,2,23,279,364,56,6,4.83,4.85,4.76,4.77,4.74,4.78,4.78,0,1,1,0,0,2.52,4532,1,baths,46,1,0,0,0,0,0,1,0,0,0,0
100,100,0,64.0,73.0,1,1,13.720785,100.547241,Entire home/apt,3,1.0,0,1,1168.0,1,1125,1,2,2,2,227,308,18,1,4.58,4.67,4.65,4.78,4.8,4.56,4.66,1,50,49,1,0,2.13,4818,1,bath,39,1,0,0,0,0,1,0,0,0,0,0
100,100,1,7.0,9.0,1,1,13.83235,100.5228,Entire home/apt,4,0.5,2,4,1600.0,3,365,1,0,16,44,134,53,5,0,4.88,4.85,4.81,4.96,5.0,4.44,4.92,0,7,7,0,0,0.37,5062,1,,33,1,0,0,0,1,0,0,0,0,0,0
100,88,1,1.0,2.0,1,1,13.72242,100.57962,Entire home/apt,2,1.0,1,1,1673.0,30,90,1,5,6,36,126,86,6,1,4.86,4.93,4.88,4.96,4.98,4.96,4.76,0,1,1,0,0,0.63,4459,3,bath,27,1,0,0,0,0,1,0,0,0,0,0
